Year,Alpha,Gamma,Beta,Total_Mod_Beta,Richness,Similarity,Evenness,EvenxRichness
2020,75,75,,,1.0,,,
2021,74,106,63.0,106.0,0.6981132075471698,0.4056603773584906,78.12914941338855,54.542991099912754
2022,64,122,66.0,102.0,0.5245901639344263,0.29508196721311475,76.28758251888551,40.01971541974322
2023,67,140,57.0,94.0,0.4785714285714286,0.2642857142857143,63.247016618759105,30.26821509612043
2025,38,153,77.0,91.0,0.24836601307189543,0.0915032679738562,66.9026454166076,16.616343306085547
