Date,34.0225_-118.6775,34.0225_-118.6325,34.0225_-118.5875,34.0225_-118.5425,34.0225_-118.4975,34.0225_-118.4525,34.0225_-118.4075,34.0225_-118.3625,34.0225_-118.3175,34.0225_-118.2725,34.0225_-118.2275,34.0225_-118.1825,34.0225_-118.1375,34.0225_-118.0925,34.0225_-118.0475,34.0225_-118.0025,34.0675_-118.6775,34.0675_-118.6325,34.0675_-118.5875,34.0675_-118.5425,34.0675_-118.4975,34.0675_-118.4525,34.0675_-118.4075,34.0675_-118.3625,34.0675_-118.3175,34.0675_-118.2725,34.0675_-118.2275,34.0675_-118.1825,34.0675_-118.1375,34.0675_-118.0925,34.0675_-118.0475,34.0675_-118.0025,34.1125_-118.6775,34.1125_-118.6325,34.1125_-118.5875,34.1125_-118.5425,34.1125_-118.4975,34.1125_-118.4525,34.1125_-118.4075,34.1125_-118.3625,34.1125_-118.3175,34.1125_-118.2725,34.1125_-118.2275,34.1125_-118.1825,34.1125_-118.1375,34.1125_-118.0925,34.1125_-118.0475,34.1125_-118.0025,34.1575_-118.6775,34.1575_-118.6325,34.1575_-118.5875,34.1575_-118.5425,34.1575_-118.4975,34.1575_-118.4525,34.1575_-118.4075,34.1575_-118.3625,34.1575_-118.3175,34.1575_-118.2725,34.1575_-118.2275,34.1575_-118.1825,34.1575_-118.1375,34.1575_-118.0925,34.1575_-118.0475,34.1575_-118.0025,34.2025_-118.6775,34.2025_-118.6325,34.2025_-118.5875,34.2025_-118.5425,34.2025_-118.4975,34.2025_-118.4525,34.2025_-118.4075,34.2025_-118.3625,34.2025_-118.3175,34.2025_-118.2725,34.2025_-118.2275,34.2025_-118.1825,34.2025_-118.1375,34.2025_-118.0925,34.2025_-118.0475,34.2025_-118.0025,34.2475_-118.6775,34.2475_-118.6325,34.2475_-118.5875,34.2475_-118.5425,34.2475_-118.4975,34.2475_-118.4525,34.2475_-118.4075,34.2475_-118.3625,34.2475_-118.3175,34.2475_-118.2725,34.2475_-118.2275,34.2475_-118.1825,34.2475_-118.1375,34.2475_-118.0925,34.2475_-118.0475,34.2475_-118.0025,34.2925_-118.6325,34.2925_-118.5875,34.2925_-118.5425,34.2925_-118.4975,34.2925_-118.4525,34.2925_-118.4075,34.2925_-118.3625,34.2925_-118.3175,34.2925_-118.2725,34.2925_-118.2275,34.2925_-118.1825,34.2925_-118.1375,34.2925_-118.0925
2005-01-01,7.635812,6.873185,6.170189,7.99606,7.21672,5.7426114,4.947441,5.343675,6.2178154,7.7080393,8.462015,10.283813,10.283813,9.767898,8.504086,9.50967,10.074388,10.958656,7.8726096,7.531284,8.260365,7.610676,6.265512,6.9264016,7.5697618,5.851379,6.6243305,8.869829,8.869829,11.999282,8.663337,9.017249,8.249381,10.169583,7.4013553,7.531284,8.304622,7.610676,7.1524224,6.9264016,7.540772,5.66951,5.502402,6.4136863,6.7514367,11.141918,8.022598,8.35273,6.420354,7.581642,6.9312453,7.1426883,7.828971,7.109166,6.95898,7.119854,6.818884,6.416167,6.180691,6.180691,6.180691,7.2872496,7.1343875,8.923772,5.069473,6.601818,6.619936,6.619936,7.194813,5.818897,4.309386,4.8260026,4.5778813,4.960776,4.4789658,4.6442432,6.1401086,6.2406054,4.6218514,6.355409,6.739983,6.507194,7.2335787,7.883826,8.276869,7.999486,6.14387,7.1058908,6.8844566,6.499269,5.4382896,4.2919445,4.7731624,5.1541896,5.445941,6.570943,5.03462,5.606482,6.579981,7.1883388,6.3213816,4.5085917,7.982608,7.5610614,6.628693,5.7666593,6.5888033,6.091244,5.4805174
2005-02-01,10.121205,8.393912,11.154259,5.9039755,6.496492,9.102735,6.6616387,7.9544373,9.201053,9.914063,10.858434,10.856552,12.021918,11.745152,9.3108225,9.225538,6.661101,5.7409067,4.742318,4.3748207,4.699451,4.074835,4.659162,7.909454,9.869022,8.585181,8.449689,8.449689,9.259499,10.893424,10.146559,10.390015,3.7563746,3.5763402,4.818733,4.3748207,4.446687,4.083757,4.755898,7.909454,9.880212,7.2064996,7.604164,7.823398,7.414175,10.007985,9.40742,7.880975,4.7252154,4.4232864,5.9076295,6.524021,8.19757,8.64155,8.52269,11.816396,8.623974,8.926236,9.317071,9.838315,9.436115,10.41113,10.766261,7.0890694,5.5355353,5.1734495,5.7601237,7.795645,8.288663,7.9434185,6.139551,8.379836,9.572393,6.3218756,6.167716,5.9401517,5.991382,7.6870813,6.944097,5.689183,7.0908895,7.0790677,7.3872485,6.708866,6.900125,7.5899973,6.6757746,6.422549,5.108303,4.2116785,3.2525215,5.8545356,6.6213427,8.98936,9.755529,9.051854,4.775927,4.989228,4.5796113,4.816537,5.4458756,4.8571334,4.3166294,3.8900414,5.236466,4.5395346,6.94456,8.637881,9.854737
2005-03-01,11.07818,11.225962,7.545654,6.1395535,5.610285,15.27845,12.008837,14.634998,14.634998,15.647425,15.257761,17.583555,22.379667,20.648952,17.90818,17.981073,24.21024,20.09905,21.795883,15.668392,10.021607,11.522998,11.1006365,9.713675,9.713675,16.95606,18.997814,21.865446,15.618542,16.745852,16.05088,20.977898,9.462243,20.792994,21.584974,14.702742,10.021607,13.240756,11.697468,9.713675,13.215897,17.366655,19.170897,23.979012,14.545319,15.510843,14.816128,17.775139,19.406267,18.509712,12.172819,12.332543,11.231991,16.045656,13.48774,18.83772,17.031946,13.515888,12.791091,11.214709,11.363049,9.195234,10.32942,12.143073,13.920599,12.4254055,11.446335,10.723611,10.554908,13.526541,12.059834,14.162995,16.639557,12.096733,10.02636,8.858522,8.164593,8.624551,6.745092,8.323036,18.543144,15.552478,15.280768,13.685804,13.537166,13.977954,12.397519,17.827295,19.139078,9.97039,7.053909,8.318949,7.7657385,8.11611,7.0893817,8.77677,13.8238325,12.660794,10.545589,11.043416,11.957695,11.621308,19.160141,17.105247,9.010243,10.216781,11.549117,10.599225,10.523361
2005-04-01,18.668247,18.235806,12.697326,17.831379,16.745897,15.4859915,15.989335,16.594284,16.987627,11.794642,9.811185,10.262716,9.789234,10.242137,11.773329,23.164364,31.363123,23.395275,26.617899,17.306557,11.18493,11.544045,8.005945,11.676102,15.059575,16.990488,17.608704,21.123856,21.182415,22.60609,22.609953,24.049723,22.202845,22.884125,28.200554,16.081486,11.18493,11.766091,7.8836083,11.676102,17.94099,16.990488,16.04251,19.336998,19.816656,19.816656,21.176886,22.084661,30.843937,21.351812,14.657715,15.326951,15.713104,16.30507,14.107245,16.4738,16.4738,20.512094,16.299019,15.522857,14.833823,19.642078,10.136597,8.510777,17.373735,14.734352,14.719041,14.525729,13.291936,13.431395,11.539903,13.328439,12.676343,13.805871,10.779608,13.97145,14.513045,20.707336,19.420368,15.886998,24.749107,29.307444,32.81221,28.367907,29.988688,28.75204,23.982035,13.133623,18.205149,19.673084,17.900217,15.301183,16.002506,14.765713,21.45677,13.455835,31.981987,26.922203,24.81452,26.365133,28.40538,25.487324,17.822937,20.90974,19.548742,15.4737425,16.119858,17.991383,16.065353
2005-05-01,37.809566,33.107964,16.282501,16.323498,18.666468,14.648014,8.95904,12.264532,13.264802,27.11145,19.25498,17.589209,17.31544,16.857643,16.100185,13.475497,37.699432,24.331804,35.391445,34.741127,16.973116,28.202576,26.343763,9.875316,13.486958,19.473158,15.1676445,15.1676445,13.052715,13.052715,14.093478,16.345343,18.128603,26.104809,36.853115,28.039026,20.171175,27.824936,26.503748,9.875316,14.890152,19.473158,15.434972,14.812952,11.070122,11.623305,12.566565,13.942829,18.257055,11.041607,10.491094,16.011337,19.45034,22.85014,15.636767,18.115248,18.549963,23.205744,11.424743,9.604211,12.724854,15.68928,15.32596,7.3049045,16.025267,13.161829,13.528829,16.41237,20.008984,20.008984,15.8917,16.82142,22.898466,15.0978565,6.6923676,6.2559924,6.972502,10.811889,8.697997,7.8264465,21.144194,14.21869,11.563387,9.26889,8.407887,14.388577,18.949081,19.546574,17.447939,23.019041,13.073964,17.941217,20.334288,23.577524,39.687412,27.876944,8.706918,8.104267,7.4279113,7.9776754,10.462794,8.873491,14.478252,11.980679,22.59293,22.553282,19.396297,23.523832,24.265497
2005-06-01,54.835613,44.3493,28.556992,25.176516,21.417532,19.172592,15.51982,17.22604,17.237595,26.636978,19.113232,28.415525,27.420998,21.059504,15.937652,14.20978,69.65658,52.17391,42.691223,42.952263,27.797678,39.66109,34.013954,18.368103,21.22064,24.526682,14.20838,14.773981,14.617854,14.617854,12.271866,12.271866,56.11561,52.03334,39.84537,45.807438,29.962626,39.21382,33.594906,19.26281,23.212566,24.4224,14.89238,14.89238,14.401666,15.023075,12.621671,11.957126,36.154915,24.311148,19.8703,22.70146,20.530254,21.712212,15.223396,19.862911,22.071827,26.945007,12.60215,12.64011,10.640101,15.896635,21.276144,33.952744,25.322771,17.812424,15.306103,15.306103,16.519491,17.459198,16.341728,17.999277,21.885508,26.229826,13.208548,12.4121,11.241518,15.701646,11.030091,22.358318,22.708282,20.69148,16.643759,17.345848,17.810041,17.810041,16.757013,23.157791,23.440609,28.70419,23.467463,28.796965,22.91664,29.520967,44.98119,34.14227,16.60047,16.702162,17.376556,17.02503,16.48222,15.356192,19.820423,19.61959,28.594326,25.999334,44.86088,40.30419,42.911823
2005-07-01,44.41792,40.58655,25.141489,22.649485,21.622635,20.79398,15.928732,17.749115,20.045801,30.968765,24.30513,24.30513,24.820335,23.83105,20.45784,16.72522,61.41544,63.232487,49.223858,52.423077,44.516354,40.036667,34.410442,18.555992,18.01639,26.76613,19.080118,19.080118,21.81177,21.81177,18.296797,18.296797,73.892746,73.53668,58.948017,48.338314,49.302567,42.286224,30.588028,20.740175,21.52647,28.372875,18.198433,18.198433,16.592575,16.592575,15.25423,14.673403,54.578144,33.370163,25.128157,30.067694,33.102177,30.809536,25.941765,25.41596,25.970304,31.567823,17.884315,17.884315,15.79947,15.165396,20.481892,17.1511,52.551365,26.378614,24.767168,24.940521,26.79115,25.303566,25.583649,22.990623,24.535646,27.005074,17.707924,19.157482,21.126852,17.816202,15.904898,17.957787,31.462091,31.259352,29.469097,23.845781,24.376865,24.376865,24.206165,31.405153,33.319515,23.695164,21.771536,23.47269,39.785282,32.199444,37.27776,31.66734,26.01366,22.308224,20.331175,19.833448,21.766373,19.833448,26.917091,23.274473,23.930052,23.016462,42.424335,41.54905,34.88389
2005-08-01,46.20516,39.785923,25.64789,18.707085,18.609535,20.694782,16.990536,17.749115,19.121578,27.444935,18.481918,21.150312,21.896883,22.301357,20.935055,19.078121,58.90187,61.65351,49.029007,23.767666,22.072823,21.936264,17.86782,20.39133,19.811338,30.543428,25.144875,24.970572,24.970572,26.44551,25.454926,25.454926,74.83825,78.79851,57.452114,23.62587,26.254305,28.872448,18.558516,22.158823,23.10631,33.36045,24.472433,23.897074,23.897074,23.273893,20.774408,20.774408,71.79503,35.14072,28.316195,30.067694,33.102177,28.665977,21.880297,31.02469,31.649456,35.47357,22.54527,18.995735,18.149822,18.882008,22.705381,17.595936,59.33898,30.64712,28.877195,24.940521,26.97359,23.580297,25.825775,27.308332,29.034115,32.245274,20.973589,20.915045,21.418303,19.718708,18.94723,14.57452,33.9211,33.099827,31.451855,29.662386,30.031364,27.544386,27.772549,31.405153,31.86999,31.077593,24.307228,26.45669,39.83007,32.330887,34.992958,29.564322,29.90642,29.024242,26.36519,20.964535,21.49647,23.434595,27.100075,23.411974,26.734543,22.409367,45.23755,44.214256,37.773308
2005-09-01,52.269196,43.30216,29.863039,9.786625,17.184807,13.747479,10.219423,14.550498,16.36568,21.987394,15.189883,17.061209,16.31408,20.418522,18.746347,15.732233,44.49564,46.839554,38.89982,12.31114,12.679595,14.39822,9.281824,10.365872,12.287887,23.20027,15.9423485,17.119284,15.950801,15.271622,14.616415,14.616415,53.33893,59.726894,34.67791,10.994504,12.446687,12.783821,8.705135,11.232562,13.558595,22.074097,16.982122,15.238362,14.176305,13.560492,12.430266,12.430266,44.27366,18.439188,14.615183,16.598255,20.342052,22.3057,14.645193,15.463851,18.038176,24.94642,15.303378,15.421812,15.700583,16.353708,17.308578,14.192753,44.535908,17.7231,15.595836,16.089844,18.854462,15.235829,14.761173,16.303936,14.916483,19.756516,11.836486,11.264812,11.315348,13.444249,10.657889,8.177574,21.92824,17.167654,17.89684,18.781775,21.019611,20.103043,19.4997,23.859459,24.303804,26.182293,24.087664,25.1003,23.454056,27.265919,39.333633,30.003155,16.857183,18.92875,18.445387,19.686752,18.634619,19.733858,24.439785,18.42908,25.809109,20.164404,30.848763,32.367115,33.146496
2005-10-01,48.842514,43.7856,17.276344,16.44561,13.548277,11.550723,7.5390763,10.260679,10.491131,15.826596,16.845196,18.333529,16.845196,16.92867,12.408773,11.585163,56.93818,37.665638,30.106186,29.011885,21.086407,13.633357,15.4426365,12.453528,12.202377,11.515401,10.221145,10.949823,10.949823,10.228142,7.8578362,6.8485365,41.11673,32.005417,37.68637,26.593176,24.331322,18.496084,15.199682,12.453528,12.428803,11.030733,7.894136,7.8745046,7.965729,7.8967133,5.630504,5.4889755,28.936178,20.993729,12.973068,11.077935,11.390506,12.052221,8.858052,10.9551,10.9551,11.032857,8.390342,9.295457,9.295457,9.676398,10.289348,20.19109,22.517925,13.341869,11.116154,11.116154,12.1739435,9.06068,9.159565,11.437826,11.828858,12.071162,9.925874,10.60275,9.633635,11.747308,12.581429,19.755766,19.676907,18.381748,17.741657,13.9676285,16.5071,21.077904,17.620737,13.368622,12.723125,22.866913,21.208494,28.875458,32.51169,26.129166,38.115917,36.73366,21.289734,15.906199,15.195602,14.23401,19.645996,17.099833,15.221792,12.007615,29.736137,23.266237,37.26339,43.91933,40.985767
