date,precipitation_mean,temperature_mean,fire_area_m2,avg_moisture,drought
2021-01-05,3.353089942433286e-05,17.84340142609369,0.0,,
2021-01-06,8.583068833445395e-07,21.385854999607286,0.0,,
2021-01-07,0.0,,0.0,,
2021-01-08,8.583068797918258e-07,21.1642439714084,0.0,,
2021-01-09,7.292720148450324e-06,,0.0,,
2021-01-10,1.2939685475355594e-06,,0.0,,
2021-01-11,1.7225742112714215e-06,22.80893959626111,0.0,,
2021-01-12,2.572633036379557e-06,20.493235023410328,0.0,,
2021-01-13,8.52346317969932e-07,,0.0,,
2021-01-14,8.52346317969932e-07,26.828991535962178,0.0,,
2021-01-15,0.0,28.042456994737282,0.0,,
2021-01-16,0.0,,0.0,,
2021-01-17,0.0,28.887290864818194,0.0,,
2021-01-18,4.351138045421976e-07,24.08196315947545,0.0,,
2021-01-19,7.764277634797274e-05,21.271969534788,0.0,,
2021-01-20,2.149029523747448e-05,24.834994894352405,0.0,,
2021-01-21,0.0,24.849894332372738,0.0,,
2021-01-22,0.00013044979346632466,22.277634831460706,0.0,,
2021-01-23,0.0058980028324124405,,0.0,,
2021-01-24,0.004732469349731634,17.863322291888526,0.0,,
2021-01-25,0.002858281135559082,,0.0,,
2021-01-26,1.4832578957047202e-05,18.182770326082707,0.0,,
2021-01-27,1.2259767767544845e-05,,0.0,,
2021-01-28,2.4304958904847757e-05,,0.0,,
2021-01-29,0.03737704253445983,,0.0,,
2021-01-30,0.0001069215945741223,18.552097927915487,0.0,,
2021-01-31,4.351138045421976e-07,,0.0,,
2021-02-01,2.833780749150955e-06,,0.0,0.4017424877002945,0.0
2021-02-02,1.2814997489840607e-06,25.111605529809143,0.0,,
2021-02-03,3.194852043108595e-06,,0.0,,
2021-02-04,5.087489397009984e-06,21.16390307124344,0.0,,
2021-02-05,4.907902798512484e-06,22.514439556986922,0.0,,
2021-02-06,1.2891325695818523e-06,24.228011483098847,0.0,,
2021-02-07,1.2934457913615915e-06,23.13156782656511,0.0,,
2021-02-08,3.7581971265099276e-06,21.03216813609838,0.0,,
2021-02-09,3.579533637484966e-05,,0.0,,
2021-02-10,2.218347518041791e-05,,0.0,,
2021-02-11,7.662630851883035e-07,15.416359775777167,0.0,,
2021-02-12,0.0008962406787320082,21.434506323148256,0.0,,
2021-02-13,1.374405833008428e-05,,0.0,,
2021-02-14,2.5794424800551496e-06,18.40427579938861,0.0,,
2021-02-15,8.486429123877315e-07,17.99153583617752,0.0,,
2021-02-16,1.6212254782974683e-05,19.075060987882956,0.0,,
2021-02-17,1.7046927496267017e-06,24.982973798015806,0.0,,
2021-02-18,4.351138045421976e-07,,0.0,,
2021-02-19,0.0,24.162911119107626,0.0,,
2021-02-20,1.3049860550052343e-05,23.52324326447258,0.0,,
