Region Name,Water Risk Details,Type of Protected Area,IUCN Category,EFG Code,Global_KBA_Criteria,Distance (km),Source,Coordinates,Polygon
Seasonal upland streams,N/A,Global Ecosystem Typology,N/A,F1.4,N/A,1.07,Global Ecosystem Typology,"(33.92333454350512, -118.25500050451672)",N/A
Seasonal upland streams,N/A,Global Ecosystem Typology,N/A,F1.4,N/A,3.52,Global Ecosystem Typology,"(33.9469693052386, -118.27121205839421)",N/A
Seasonal upland streams,N/A,Global Ecosystem Typology,N/A,F1.4,N/A,1.52,Global Ecosystem Typology,"(33.91166682673349, -118.24666644303386)",N/A
Seasonal upland streams,N/A,Global Ecosystem Typology,N/A,F1.4,N/A,0.87,Global Ecosystem Typology,"(33.93166680166067, -118.23833238663538)",N/A
Seasonal upland streams,N/A,Global Ecosystem Typology,N/A,F1.4,N/A,3.42,Global Ecosystem Typology,"(33.89891327541702, -118.22427513992864)",N/A
Episodic arid rivers,N/A,Global Ecosystem Typology,N/A,F1.6,N/A,3.03,Global Ecosystem Typology,"(33.9033327909967, -118.26333460624451)",N/A
Plantations,N/A,Global Ecosystem Typology,N/A,T7.3,N/A,4.16,Global Ecosystem Typology,"(33.91166683816428, -118.20166699343845)",N/A
