Year,Alpha,Gamma,Beta,Total_Mod_Beta,Richness,Similarity,Evenness,EvenxRichness
2020,113,113,,,1.0,,,
2021,129,166,90.0,166.0,0.7771084337349398,0.4578313253012048,117.29790764790766,91.15319329265114
2022,112,206,111.0,176.0,0.5436893203883495,0.3155339805825243,129.73692810457516,70.53658227044862
2023,106,225,92.0,155.0,0.4711111111111111,0.28,109.68570367540954,51.67415373152627
2025,93,246,93.0,146.0,0.3780487804878049,0.21544715447154472,97.01422841864019,36.676110743632265
