Region Name,Water Risk Details,Type of Protected Area,IUCN Category,EFG Code,Global_KBA_Criteria,Distance (km),Source,Coordinates,Polygon
Permanent upland streams,N/A,Global Ecosystem Typology,N/A,F1.1,N/A,4.45,Global Ecosystem Typology,"(53.24500018597462, -3.11333275839447)",N/A
Permanent upland streams,N/A,Global Ecosystem Typology,N/A,F1.1,N/A,2.02,Global Ecosystem Typology,"(53.278331994971076, -3.0850014328117323)",N/A
Coastal saltmarshes and reedbeds,N/A,Global Ecosystem Typology,N/A,MFT1.3,N/A,4.45,Global Ecosystem Typology,"(53.24500018597462, -3.11333275839447)",N/A
Coastal saltmarshes and reedbeds,N/A,Global Ecosystem Typology,N/A,MFT1.3,N/A,1.55,Global Ecosystem Typology,"(53.2803032057, -3.0911614052416425)",N/A
Plantations,N/A,Global Ecosystem Typology,N/A,T7.3,N/A,3.24,Global Ecosystem Typology,"(53.30999962087393, -3.088335034865956)",N/A
Plantations,N/A,Global Ecosystem Typology,N/A,T7.3,N/A,4.43,Global Ecosystem Typology,"(53.286666035480025, -3.046666533186668)",N/A
Plantations,N/A,Global Ecosystem Typology,N/A,T7.3,N/A,4.83,Global Ecosystem Typology,"(53.32833187418511, -3.10999913858172)",N/A
Permanent upland streams,N/A,Global Ecosystem Typology,N/A,F1.1,N/A,2.22,Global Ecosystem Typology,"(53.28260849442297, -3.080072492450884)",N/A
Kelp forests,N/A,Global Ecosystem Typology,N/A,M1.2,N/A,2.83,Global Ecosystem Typology,"(53.26166833464919, -3.13000090668624)",N/A
Kelp forests,N/A,Global Ecosystem Typology,N/A,M1.2,N/A,2.57,Global Ecosystem Typology,"(53.26190516992027, -3.1130946453979838)",N/A
Kelp forests,N/A,Global Ecosystem Typology,N/A,M1.2,N/A,0.19,Global Ecosystem Typology,"(53.28666603409256, -3.113332728317955)",N/A
Kelp forests,N/A,Global Ecosystem Typology,N/A,M1.2,N/A,2.88,Global Ecosystem Typology,"(53.270000603977884, -3.1483331272348423)",N/A
Kelp forests,N/A,Global Ecosystem Typology,N/A,M1.2,N/A,4.35,Global Ecosystem Typology,"(53.286666059861645, -3.1783339698540134)",N/A
