Ecosystem_2001,FFI_2001,Centroid_2001,Distance_2001,Ecosystem_2018,FFI_2018,Centroid_2018,Distance_2018,FFI_Drop
Intertidal flats,0.5780183382079025,"(np.float64(53.323271271878646), np.float64(-2.8714355568286654))",4.682046281915391,Intertidal flats,0.6313476727020175,"(np.float64(53.324111164581325), np.float64(-2.8716133233496524))",4.762409330401862,0.05332933449411503
Salt marshes,0.5323416179993914,"(np.float64(53.28767039274924), np.float64(-3.051130200573691))",10.043589108588124,Salt marshes,0.6170139448866103,"(np.float64(53.28819264367816), np.float64(-3.052367154930357))",10.127859269390905,0.08467232688721893
Broad‑leaved forest,0.00790567283732746,"(np.float64(53.26361), np.float64(-2.7673924187725634))",9.199730595818442,Mixed forest,0.2082833266419939,"(np.float64(53.22278638743455), np.float64(-2.7440900233743486))",12.532198964344905,0.20037765380466643
