Ecosystem_1998,FFI_1998,Centroid_1998,Ecosystem_2018,FFI_2018,Centroid_2018,FFI_Drop
Broad‑leaved forest,0.47115943125637494,"(np.float64(48.967572598870056), np.float64(2.166546258784622))",Water bodies,0.02138304078330222,"(np.float64(48.96438035714286), np.float64(2.321942160278746))",-0.4497763904730727
Broad‑leaved forest,0.27483733874389604,"(np.float64(48.80992819656488), np.float64(2.211616533234035))",Green urban areas,0.07439375547739169,"(np.float64(48.813274404761906), np.float64(2.307346631823461))",-0.20044358326650435
Broad‑leaved forest,0.29989854287226536,"(np.float64(48.77140703703704), np.float64(2.241249846431798))",Broad‑leaved forest,0.0,"(np.float64(48.788125), np.float64(2.1524109756097562))",-0.29989854287226536
Broad‑leaved forest,0.32353558965055607,"(np.float64(48.74387735013624), np.float64(2.508898873529607))",Broad‑leaved forest,0.09188632372745986,"(np.float64(48.75409964285714), np.float64(2.321476655052265))",-0.2316492659230962
