Ecosystem_1998,FFI_1998,Centroid_1998,Ecosystem_2018,FFI_2018,Centroid_2018,FFI_Drop
Broad‑leaved forest,0.191223765666924,"(np.float64(48.99940550518135), np.float64(2.3434806710476432))",Broad‑leaved forest,0.23440137726052956,"(np.float64(48.99974714106845), np.float64(2.3433046439187266))",0.04317761159360556
Green urban areas,0.07990787567953905,"(np.float64(48.9754375), np.float64(2.2509278472082244))",Broad‑leaved forest,0.4731385956127243,"(np.float64(48.96683951177625), np.float64(2.1665515534120012))",0.39323071993318526
Green urban areas,0.0,"(np.float64(48.932396875), np.float64(2.464772256097561))",Green urban areas,0.229956028185891,"(np.float64(48.91896582278481), np.float64(2.5426851806112998))",0.229956028185891
Green urban areas,0.03852901558847943,"(np.float64(48.84772039473684), np.float64(2.337375802310655))",Broad‑leaved forest,0.2934637879896631,"(np.float64(48.81180557747489), np.float64(2.2173426934247824))",0.2549347724011837
Broad‑leaved forest,0.10213934417981796,"(np.float64(48.7750946858864), np.float64(2.204527931237144))",Broad‑leaved forest,0.28983017170084957,"(np.float64(48.77158769379845), np.float64(2.2411318963887314))",0.1876908275210316
Broad‑leaved forest,0.0,"(np.float64(48.788125), np.float64(2.1524109756097562))",Green urban areas,0.2247927513443586,"(np.float64(48.780233104395606), np.float64(2.291847694987939))",0.2247927513443586
Green urban areas,0.12489817298155859,"(np.float64(48.76795340909091), np.float64(2.361596905865753))",Broad‑leaved forest,0.3224106798117812,"(np.float64(48.743831267029975), np.float64(2.5089921014155645))",0.1975125068302226
