Polygon_A,Ecosystem_A,Start_Point,Polygon_B,Ecosystem_B,End_Point,Distance_km
10,Agro‑forestry,"(np.float64(37.90409481481481), np.float64(22.49020099378882))",11,Agro‑forestry,"(np.float64(37.899505807041606), np.float64(22.486726432022085))",0.5939910571029836
4,Coniferous forest,"(np.float64(37.935375582990396), np.float64(22.48770596273292))",5,Sclerophyllous veg.,"(np.float64(37.93212987654321), np.float64(22.48845447204969))",0.3662181508413765
7,Mixed forest,"(np.float64(37.911936790123455), np.float64(22.009159006211178))",9,Mixed forest,"(np.float64(37.903484883401916), np.float64(22.009713457556934))",0.9393834330756381
23,Sclerophyllous veg.,"(np.float64(37.69079308641975), np.float64(22.009159006211178))",24,Sclerophyllous veg.,"(np.float64(37.687264197530865), np.float64(22.009159006211178))",0.3916734964757931
7,Mixed forest,"(np.float64(37.911936790123455), np.float64(22.009159006211178))",8,Mixed forest,"(np.float64(37.9088), np.float64(22.009159006211178))",0.34816733342924766
6,Sclerophyllous veg.,"(np.float64(37.917925207631875), np.float64(22.009431191417278))",7,Mixed forest,"(np.float64(37.911936790123455), np.float64(22.009159006211178))",0.665114387479752
21,Sclerophyllous veg.,"(np.float64(37.69814265862762), np.float64(22.012477977755307))",23,Sclerophyllous veg.,"(np.float64(37.69079308641975), np.float64(22.009159006211178))",0.866664015388822
8,Mixed forest,"(np.float64(37.9088), np.float64(22.009159006211178))",9,Mixed forest,"(np.float64(37.903484883401916), np.float64(22.009713457556934))",0.5919614516715451
