Ecosystem_2001,FFI_2001,Centroid_2001,Distance_2001,Ecosystem_2018,FFI_2018,Centroid_2018,Distance_2018,FFI_Drop
Sclerophyllous veg.,0.3132221456635962,"(np.float64(37.738452280065616), np.float64(22.285243788819876))",3.386395737842974,Sclerophyllous veg.,0.0,"(np.float64(37.81077530864197), np.float64(22.030449937888196))",20.456951678599395,-0.3132221456635962
Sclerophyllous veg.,0.42906733940916797,"(np.float64(37.675087457916334), np.float64(22.422930680310944))",17.392419795488387,Sclerophyllous veg.,0.0,"(np.float64(37.78649132510288), np.float64(22.201376198757764))",5.875176229271742,-0.42906733940916797
